val/GaussianNLL,val/MSE,epoch,step,train/GaussianNLL,train/MSE
0.08608732372522354,0.17217464745044708,0,624,,
,,0,624,0.7624085545539856,1.5248171091079712
0.07405243068933487,0.14810486137866974,1,1249,,
,,1,1249,0.07881364971399307,0.15762729942798615
0.07172064483165741,0.14344128966331482,2,1874,,
,,2,1874,0.07292649894952774,0.14585299789905548
0.07156277447938919,0.14312554895877838,3,2499,,
,,3,2499,0.07243667542934418,0.14487335085868835
0.06711465865373611,0.13422931730747223,4,3124,,
,,4,3124,0.07094540446996689,0.14189080893993378
0.0528508685529232,0.1057017371058464,5,3749,,
,,5,3749,0.060969334095716476,0.12193866819143295
0.04176344349980354,0.08352688699960709,6,4374,,
,,6,4374,0.047535303980112076,0.09507060796022415
0.03776942938566208,0.07553885877132416,7,4999,,
,,7,4999,0.04029814898967743,0.08059629797935486
0.036511942744255066,0.07302388548851013,8,5624,,
,,8,5624,0.0380970761179924,0.0761941522359848
0.03509005904197693,0.07018011808395386,9,6249,,
,,9,6249,0.03690619766712189,0.07381239533424377
0.03241616487503052,0.06483232975006104,10,6874,,
,,10,6874,0.035034459084272385,0.07006891816854477
0.028594713658094406,0.05718942731618881,11,7499,,
,,11,7499,0.031518176198005676,0.06303635239601135
0.024839390069246292,0.049678780138492584,12,8124,,
,,12,8124,0.027611523866653442,0.055223047733306885
0.021767066791653633,0.043534133583307266,13,8749,,
,,13,8749,0.024184854701161385,0.04836970940232277
0.01949191279709339,0.03898382559418678,14,9374,,
,,14,9374,0.021527038887143135,0.04305407777428627
0.018003230914473534,0.03600646182894707,15,9999,,
,,15,9999,0.019528139382600784,0.03905627876520157
0.017177684232592583,0.034355368465185165,16,10624,,
,,16,10624,0.01818646304309368,0.03637292608618736
0.016436811536550522,0.032873623073101044,17,11249,,
,,17,11249,0.01735331118106842,0.03470662236213684
0.016180064529180527,0.03236012905836105,18,11874,,
,,18,11874,0.016925659030675888,0.033851318061351776
0.01595616526901722,0.03191233053803444,19,12499,,
,,19,12499,0.016516786068677902,0.033033572137355804
0.015704158693552017,0.031408317387104034,20,13124,,
,,20,13124,0.016270024701952934,0.03254004940390587
0.01600743643939495,0.0320148728787899,21,13749,,
,,21,13749,0.01616121269762516,0.03232242539525032
0.015736954286694527,0.03147390857338905,22,14374,,
,,22,14374,0.015995927155017853,0.031991854310035706
0.015592805109918118,0.031185610219836235,23,14999,,
,,23,14999,0.015909098088741302,0.031818196177482605
0.015269090421497822,0.030538180842995644,24,15624,,
,,24,15624,0.015906846150755882,0.031813692301511765
0.015204047784209251,0.030408095568418503,25,16249,,
,,25,16249,0.015827838331460953,0.031655676662921906
0.015101131983101368,0.030202263966202736,26,16874,,
,,26,16874,0.015765225514769554,0.03153045102953911
0.015054171904921532,0.030108343809843063,27,17499,,
,,27,17499,0.015749242156744003,0.03149848431348801
0.015099924989044666,0.030199849978089333,28,18124,,
,,28,18124,0.01573352701961994,0.03146705403923988
0.014981689862906933,0.029963379725813866,29,18749,,
,,29,18749,0.01575644500553608,0.03151289001107216
0.015000881627202034,0.030001763254404068,30,19374,,
,,30,19374,0.015694638714194298,0.031389277428388596
0.014972266741096973,0.029944533482193947,31,19999,,
,,31,19999,0.015725838020443916,0.03145167604088783
0.01504441723227501,0.03008883446455002,32,20624,,
,,32,20624,0.015676550567150116,0.03135310113430023
0.015004229731857777,0.030008459463715553,33,21249,,
,,33,21249,0.015690818428993225,0.03138163685798645
0.015163246542215347,0.030326493084430695,34,21874,,
,,34,21874,0.0156575758010149,0.0313151516020298
0.014925289899110794,0.029850579798221588,35,22499,,
,,35,22499,0.015680477023124695,0.03136095404624939
0.015023933723568916,0.030047867447137833,36,23124,,
,,36,23124,0.015623309649527073,0.031246619299054146
