val/GaussianNLL,val/MSE,epoch,step,train/GaussianNLL,train/MSE
0.3261823356151581,0.730000376701355,0,124,,
,,0,124,0.45211848616600037,0.9366312026977539
-0.027606939896941185,0.3154202699661255,1,249,,
,,1,249,0.15059411525726318,0.4715023934841156
-0.31965935230255127,0.17782506346702576,2,374,,
,,2,374,-0.206117644906044,0.2273770570755005
-0.4439820349216461,0.14342044293880463,3,499,,
,,3,499,-0.40626105666160583,0.14701320230960846
-0.4854034185409546,0.1355077475309372,4,624,,
,,4,624,-0.482426255941391,0.1310569941997528
-0.521862268447876,0.12669700384140015,5,749,,
,,5,749,-0.5211171507835388,0.12414143979549408
-0.5534837245941162,0.12094961106777191,6,874,,
,,6,874,-0.5551086664199829,0.11805460602045059
-0.5766911506652832,0.117057666182518,7,999,,
,,7,999,-0.5834479928016663,0.11268249154090881
-0.5958603024482727,0.11353722959756851,8,1124,,
,,8,1124,-0.6068872809410095,0.10881593823432922
-0.621370792388916,0.10807991027832031,9,1249,,
,,9,1249,-0.6259353160858154,0.10510045289993286
-0.6034814119338989,0.11186891794204712,10,1374,,
,,10,1374,-0.6438819766044617,0.10196293145418167
-0.6531772017478943,0.10180024802684784,11,1499,,
,,11,1499,-0.6598769426345825,0.09920594096183777
-0.6688827872276306,0.09911216795444489,12,1624,,
,,12,1624,-0.6749849319458008,0.09641369432210922
-0.682446300983429,0.09701772779226303,13,1749,,
,,13,1749,-0.6882370710372925,0.09413933753967285
-0.695880651473999,0.09461192786693573,14,1874,,
,,14,1874,-0.7035220861434937,0.0914262980222702
-0.709240198135376,0.0927702933549881,15,1999,,
,,15,1999,-0.7157419919967651,0.08937083184719086
-0.7195754051208496,0.09118088334798813,16,2124,,
,,16,2124,-0.7299261093139648,0.08726277202367783
-0.7369269132614136,0.08803119510412216,17,2249,,
,,17,2249,-0.7406811714172363,0.08553597331047058
-0.7410807609558105,0.0881209746003151,18,2374,,
,,18,2374,-0.7525139451026917,0.08339250087738037
-0.758330762386322,0.08464764803647995,19,2499,,
,,19,2499,-0.7591558694839478,0.08229999244213104
-0.7683184146881104,0.08395284414291382,20,2624,,
,,20,2624,-0.7722977995872498,0.08032325655221939
-0.7353136539459229,0.0873304232954979,21,2749,,
,,21,2749,-0.782633900642395,0.07913125306367874
-0.7883819341659546,0.0810743197798729,22,2874,,
,,22,2874,-0.790939450263977,0.07804878056049347
-0.7971133589744568,0.08009494841098785,23,2999,,
,,23,2999,-0.7980032563209534,0.07647475600242615
-0.8057178854942322,0.07853717356920242,24,3124,,
,,24,3124,-0.8080314993858337,0.0754438191652298
-0.8107916116714478,0.07828669250011444,25,3249,,
,,25,3249,-0.8115656971931458,0.07466915249824524
-0.81432044506073,0.0776406079530716,26,3374,,
,,26,3374,-0.8217172622680664,0.07345312833786011
-0.8209574818611145,0.0768761932849884,27,3499,,
,,27,3499,-0.8258205056190491,0.07286743819713593
-0.8221558332443237,0.07607277482748032,28,3624,,
,,28,3624,-0.8291460275650024,0.07244113832712173
-0.8342330455780029,0.07485038787126541,29,3749,,
,,29,3749,-0.834894061088562,0.07145379483699799
-0.828143298625946,0.07598745077848434,30,3874,,
,,30,3874,-0.8429539799690247,0.07044027745723724
-0.8315901160240173,0.07422555983066559,31,3999,,
,,31,3999,-0.8444769382476807,0.0700029730796814
